team,year,name,age,position,games,games_started,minutes_played_per_game,field_goals_per_game,field_goal_attempts_per_game,field_goal_percentage,three_point_field_goals_per_game,three_point_field_goal_attempts_per_game,three_point_field_goal_percentage,two_point_field_goals_per_game,two_point_field_goal_attempts_per_game,two_point_field_goal_percentage,effective_field_goal_percentage,free_throws_per_game,free_throw_attempts_per_game,free_throw_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,awards,position_post,games_post,games_started_post,minutes_played_per_game_post,field_goals_per_game_post,field_goal_attempts_per_game_post,field_goal_percentage_post,three_point_field_goals_per_game_post,three_point_field_goal_attempts_per_game_post,three_point_field_goal_percentage_post,two_point_field_goals_per_game_post,two_point_field_goal_attempts_per_game_post,two_point_field_goal_percentage_post,effective_field_goal_percentage_post,free_throws_per_game_post,free_throw_attempts_per_game_post,free_throw_percentage_post,offensive_rebounds_per_game_post,defensive_rebounds_per_game_post,total_rebounds_per_game_post,assists_per_game_post,steals_per_game_post,blocks_per_game_post,turnovers_per_game_post,personal_fouls_per_game_post,points_per_game_post,awards_post,pg%,sg%,pf%,c%,on_court_+/-,on-off_+/-,bad_pass_TO,lost_ball_TO,shooting_fouls,offensive_fouls,shooting_fouls_drawn,offensive_fouls_drawn,points generated by assists,and1s,pg%_post,sg%_post,sf%_post,pf%_post,c%_post,on_court_+/-_post,on-off_+/-_post,bad_pass_to_post,lost_ball_to_post,shooting_fouls_post,offensive_fouls_post,shooting_fouls_drawn_post,offensive_fouls_drawn_post,points_generated_by_assists_post,and1s_post,name_slug,twok_year,Rating,Team,Height,Wingspan
BOS,2022,Derrick White,27.0,SG,26,4,27.4,3.6,8.8,0.409,1.3,4.3,0.306,2.3,4.6,0.504,0.483,2.5,2.9,0.853,0.5,2.9,3.4,3.5,0.6,0.6,1.2,2.2,11.0,,SG,23.0,3.0,25.4,2.8,7.7,0.364,1.1,3.6,0.313,1.7,4.0,0.409,0.438,1.8,2.2,0.824,0.3,2.7,3.0,2.7,0.9,0.6,1.3,2.0,8.5,,13,1,0,0,12.3,5.6,18,9,30,1,39,14,219,11,22.0,75.0,3.0,0.0,0.0,2.1,-3.7,14.0,7.0,19.0,3.0,21.0,10.0,141.0,5.0,derrick-white,NBA 2K23,78.0,Boston Celtics,"6'4"" (193cm)","6'8"" (203cm)"
BOS,2022,Derrick White,27.0,SG,26,4,27.4,3.6,8.8,0.409,1.3,4.3,0.306,2.3,4.6,0.504,0.483,2.5,2.9,0.853,0.5,2.9,3.4,3.5,0.6,0.6,1.2,2.2,11.0,,SG,23.0,3.0,25.4,2.8,7.7,0.364,1.1,3.6,0.313,1.7,4.0,0.409,0.438,1.8,2.2,0.824,0.3,2.7,3.0,2.7,0.9,0.6,1.3,2.0,8.5,,13,1,0,0,12.3,5.6,18,9,30,1,39,14,219,11,22.0,75.0,3.0,0.0,0.0,2.1,-3.7,14.0,7.0,19.0,3.0,21.0,10.0,141.0,5.0,derrick-white,NBA 2K23,78.0,Boston Celtics,"6'4"" (193cm)","6'8"" (203cm)"
BOS,2022,Josh Richardson,28.0,SG,44,0,24.7,3.5,7.8,0.443,1.4,3.5,0.397,2.0,4.3,0.481,0.534,1.4,1.6,0.859,0.6,2.3,2.8,1.5,0.8,0.5,0.9,1.9,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,0,0,3.1,-6.3,19,9,39,3,25,6,166,3,,,,,,,,,,,,,,,,josh-richardson,NBA 2K23,77.0,"New Orleans Pelicans, San Antonio Spurs","6'5"" (196cm)","6'10"" (208cm)"
BOS,2022,Josh Richardson,28.0,SG,44,0,24.7,3.5,7.8,0.443,1.4,3.5,0.397,2.0,4.3,0.481,0.534,1.4,1.6,0.859,0.6,2.3,2.8,1.5,0.8,0.5,0.9,1.9,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,0,0,3.1,-6.3,19,9,39,3,25,6,166,3,,,,,,,,,,,,,,,,josh-richardson,NBA 2K23,77.0,"New Orleans Pelicans, San Antonio Spurs","6'5"" (196cm)","6'10"" (208cm)"
BOS,2022,Grant Williams,23.0,PF,77,21,24.4,2.7,5.6,0.475,1.4,3.4,0.411,1.3,2.3,0.569,0.597,1.1,1.2,0.905,0.8,2.7,3.6,1.0,0.5,0.7,0.8,2.4,7.8,,PF,24.0,5.0,27.3,2.7,6.3,0.433,1.5,3.7,0.393,1.3,2.5,0.492,0.55,1.8,2.2,0.808,1.0,2.8,3.8,0.8,0.3,0.8,0.8,3.5,8.6,,0,3,94,3,4.5,-6.0,28,17,91,10,41,22,196,14,0.0,0.0,2.0,98.0,1.0,1.6,-5.3,5.0,5.0,31.0,7.0,16.0,10.0,49.0,3.0,grant-williams,NBA 2K23,77.0,Boston Celtics,"6'6"" (198cm)","6'10"" (208cm)"
BOS,2022,Grant Williams,23.0,PF,77,21,24.4,2.7,5.6,0.475,1.4,3.4,0.411,1.3,2.3,0.569,0.597,1.1,1.2,0.905,0.8,2.7,3.6,1.0,0.5,0.7,0.8,2.4,7.8,,PF,24.0,5.0,27.3,2.7,6.3,0.433,1.5,3.7,0.393,1.3,2.5,0.492,0.55,1.8,2.2,0.808,1.0,2.8,3.8,0.8,0.3,0.8,0.8,3.5,8.6,,0,3,94,3,4.5,-6.0,28,17,91,10,41,22,196,14,0.0,0.0,2.0,98.0,1.0,1.6,-5.3,5.0,5.0,31.0,7.0,16.0,10.0,49.0,3.0,grant-williams,NBA 2K23,77.0,Boston Celtics,"6'6"" (198cm)","6'10"" (208cm)"
BOS,2022,Daniel Theis,29.0,C,21,6,18.7,3.2,5.3,0.598,0.5,1.3,0.357,2.7,4.0,0.679,0.643,1.0,1.5,0.688,1.3,3.4,4.7,1.0,0.4,0.7,0.7,2.3,7.9,,C,16.0,5.0,12.5,1.9,3.2,0.588,0.2,0.9,0.214,1.7,2.3,0.73,0.618,0.4,0.5,0.75,0.8,2.4,3.3,0.7,0.3,0.5,0.7,1.6,4.3,,0,0,32,68,18.0,11.4,5,4,37,5,18,3,53,6,0.0,0.0,0.0,36.0,64.0,-7.6,-14.0,5.0,3.0,13.0,3.0,2.0,1.0,29.0,0.0,daniel-theis,NBA 2K23,75.0,Indiana Pacers,"6'8"" (203cm)","7'0"" (213cm)"
BOS,2022,Daniel Theis,29.0,C,21,6,18.7,3.2,5.3,0.598,0.5,1.3,0.357,2.7,4.0,0.679,0.643,1.0,1.5,0.688,1.3,3.4,4.7,1.0,0.4,0.7,0.7,2.3,7.9,,C,16.0,5.0,12.5,1.9,3.2,0.588,0.2,0.9,0.214,1.7,2.3,0.73,0.618,0.4,0.5,0.75,0.8,2.4,3.3,0.7,0.3,0.5,0.7,1.6,4.3,,0,0,32,68,18.0,11.4,5,4,37,5,18,3,53,6,0.0,0.0,0.0,36.0,64.0,-7.6,-14.0,5.0,3.0,13.0,3.0,2.0,1.0,29.0,0.0,daniel-theis,NBA 2K23,75.0,Indiana Pacers,"6'8"" (203cm)","7'0"" (213cm)"
BOS,2022,Romeo Langford,22.0,SG,44,5,16.5,1.8,4.2,0.429,0.7,1.9,0.349,1.1,2.3,0.495,0.508,0.5,0.8,0.588,0.7,1.7,2.4,0.4,0.5,0.4,0.4,1.0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,52,2,0,1.3,-7.8,9,3,27,1,17,3,49,6,,,,,,,,,,,,,,,,romeo-langford,,,,,
BOS,2022,Payton Pritchard,24.0,PG,71,2,14.1,2.3,5.3,0.429,1.4,3.5,0.412,0.8,1.8,0.461,0.564,0.3,0.3,1.0,0.5,1.4,1.9,2.0,0.4,0.1,0.6,0.9,6.2,,PG,24.0,0.0,12.9,1.8,4.3,0.422,1.0,3.0,0.333,0.8,1.3,0.633,0.539,0.2,0.3,0.667,0.4,1.5,1.9,1.6,0.3,0.1,0.4,1.0,4.8,,100,0,0,0,3.5,-5.6,22,9,20,2,6,3,353,2,100.0,0.0,0.0,0.0,0.0,10.2,8.6,6.0,1.0,10.0,0.0,2.0,1.0,88.0,0.0,payton-pritchard,,,,,
BOS,2022,Enes Freedom,29.0,C,35,1,11.7,1.5,2.8,0.526,0.1,0.1,0.4,1.4,2.6,0.533,0.536,0.7,0.8,0.857,1.7,2.8,4.6,0.2,0.1,0.4,0.6,1.2,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,100,8.9,1.4,3,9,29,4,15,1,19,5,,,,,,,,,,,,,,,,enes-freedom,,,,,
BOS,2022,Aaron Nesmith,22.0,SF,52,3,11.0,1.4,3.5,0.396,0.6,2.2,0.27,0.8,1.3,0.612,0.481,0.4,0.5,0.808,0.3,1.4,1.7,0.4,0.4,0.1,0.6,1.3,3.8,,SF,15.0,0.0,3.5,0.3,1.1,0.235,0.1,0.7,0.091,0.2,0.4,0.5,0.265,0.2,0.3,0.75,0.3,0.7,1.0,0.2,0.1,0.3,0.1,0.4,0.8,,1,63,7,0,4.5,-3.8,17,5,39,3,15,6,53,7,0.0,68.0,33.0,0.0,0.0,0.8,-3.1,1.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,aaron-nesmith,NBA 2K23,71.0,Indiana Pacers,"6'5"" (196cm)","6'10"" (208cm)"
BOS,2022,Aaron Nesmith,22.0,SF,52,3,11.0,1.4,3.5,0.396,0.6,2.2,0.27,0.8,1.3,0.612,0.481,0.4,0.5,0.808,0.3,1.4,1.7,0.4,0.4,0.1,0.6,1.3,3.8,,SF,15.0,0.0,3.5,0.3,1.1,0.235,0.1,0.7,0.091,0.2,0.4,0.5,0.265,0.2,0.3,0.75,0.3,0.7,1.0,0.2,0.1,0.3,0.1,0.4,0.8,,1,63,7,0,4.5,-3.8,17,5,39,3,15,6,53,7,0.0,68.0,33.0,0.0,0.0,0.8,-3.1,1.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,aaron-nesmith,NBA 2K23,71.0,Indiana Pacers,"6'5"" (196cm)","6'10"" (208cm)"
BOS,2022,Jabari Parker,26.0,PF,12,0,9.3,1.5,3.2,0.474,0.7,1.3,0.5,0.8,1.8,0.455,0.579,0.8,0.8,1.0,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,28,72,-1.2,-9.2,5,2,10,1,3,0,13,1,,,,,,,,,,,,,,,,jabari-parker,,,,,
BOS,2022,Luke Kornet,26.0,C,12,0,7.1,1.0,1.8,0.571,0.0,0.3,0.0,1.0,1.4,0.706,0.571,0.2,0.3,0.667,0.8,1.3,2.1,0.7,0.3,0.2,0.0,0.6,2.2,,C,9.0,0.0,2.1,0.3,0.4,0.75,0.1,0.1,1.0,0.2,0.3,0.667,0.875,0.0,0.0,,0.1,0.4,0.6,0.1,0.0,0.0,0.1,0.1,0.8,,0,0,0,100,3.3,-4.5,0,0,7,0,2,0,20,1,0.0,0.0,0.0,0.0,100.0,11.0,7.2,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,luke-kornet,NBA 2K23,70.0,Boston Celtics,"7'2"" (218cm)","7'6"" (229cm)"
BOS,2022,Luke Kornet,26.0,C,12,0,7.1,1.0,1.8,0.571,0.0,0.3,0.0,1.0,1.4,0.706,0.571,0.2,0.3,0.667,0.8,1.3,2.1,0.7,0.3,0.2,0.0,0.6,2.2,,C,9.0,0.0,2.1,0.3,0.4,0.75,0.1,0.1,1.0,0.2,0.3,0.667,0.875,0.0,0.0,,0.1,0.4,0.6,0.1,0.0,0.0,0.1,0.1,0.8,,0,0,0,100,3.3,-4.5,0,0,7,0,2,0,20,1,0.0,0.0,0.0,0.0,100.0,11.0,7.2,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,luke-kornet,NBA 2K23,70.0,Boston Celtics,"7'2"" (218cm)","7'6"" (229cm)"
BOS,2022,Sam Hauser,24.0,SF,26,0,6.1,0.9,1.9,0.46,0.7,1.7,0.432,0.2,0.2,0.667,0.65,0.0,0.0,,0.2,0.9,1.1,0.4,0.0,0.1,0.1,0.3,2.5,,SF,7.0,0.0,2.1,0.1,0.6,0.25,0.1,0.4,0.333,0.0,0.1,0.0,0.375,0.3,0.3,1.0,0.0,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.7,,0,57,41,0,2.6,-5.3,1,0,2,0,0,0,24,0,0.0,0.0,100.0,1.0,0.0,34.3,30.8,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,sam-hauser,,,,,
