Team,Year,Name,Age_x,Position_x,Games_x,Games Started_x,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game,Awards_x,Age_y,Position_y,Games_y,Games Started_y,Minutes Played,PG%,SG%,SF%,PF%,C%,OnCourt +/-,On-Off +/-,Bad Pass TO,Lost Ball TO,Shooting Fouls,Offensive Fouls,Shooting Fouls Drawn,Points Generated by Assists,And1s,Shots Blocked,Awards_y
DET,2002,Michael Curry,33,SG,82,75,23.3,1.5,3.4,.453,0.1,0.3,.269,1.4,3.0,.472,.466,0.9,1.1,.791,0.2,1.9,2.0,1.5,0.6,0.1,0.7,2.5,4.0,,33,SG,82,75,1912,0,79,21,0,0,-0.3,-5.8,26,11,94,16,34,308,5,10,
DET,2002,Corliss Williamson,28,SF,78,7,21.8,5.3,10.3,.510,0.0,0.1,.200,5.3,10.3,.512,.511,3.1,3.8,.805,1.5,2.6,4.1,1.2,0.6,0.3,1.8,2.9,13.6,6MOY-1,28,SF,78,7,1701,0,1,67,32,0,4.4,3.1,49,33,89,38,127,226,26,56,6MOY-1
DET,2002,Dana Barros,34,PG,29,20,20.1,2.6,6.6,.385,0.8,2.4,.338,1.7,4.2,.413,.448,0.7,0.9,.778,0.0,1.9,2.0,2.7,0.5,0.1,1.1,1.3,6.7,,34,PG,29,20,582,100,0,0,0,0,0.6,-2.4,20,7,14,3,11,166,4,6,
DET,2002,Damon Jones,25,PG,67,0,16.2,1.7,4.2,.401,1.0,2.8,.371,0.7,1.5,.459,.523,0.6,0.9,.729,0.2,1.3,1.5,2.1,0.3,0.0,0.9,1.2,5.1,,25,PG,67,0,1083,98,2,0,0,0,6.3,5.0,40,15,31,1,19,314,3,15,
DET,2002,Željko Rebrača,29,C,74,4,15.9,2.6,5.1,.505,0.0,0.0,,2.6,5.1,.505,.505,1.8,2.4,.771,1.1,2.8,3.9,0.5,0.4,1.0,1.1,2.6,6.9,,29,C,74,4,1179,0,0,0,0,100,2.6,-0.1,6,19,65,30,60,96,9,29,
DET,2002,Rodney White,21,SF,16,0,8.1,1.3,3.8,.350,0.1,0.6,.222,1.2,3.2,.373,.367,0.8,0.9,.857,0.1,1.0,1.1,0.8,0.6,0.1,0.9,0.4,3.5,,21,SF,16,0,129,0,4,81,16,0,8.4,5.9,7,4,1,2,3,25,0,8,
DET,2002,Mikki Moore,26,C,30,0,7.2,1.0,2.0,.475,0.0,0.1,.500,0.9,2.0,.475,.484,0.7,0.9,.769,0.7,1.0,1.8,0.4,0.2,0.3,0.5,1.2,2.6,,26,C,30,0,217,0,0,0,34,66,1.2,-1.6,7,5,18,2,10,26,2,3,
DET,2002,Victor Alexander,32,C,15,0,6.5,1.2,3.4,.353,0.0,0.1,.000,1.2,3.3,.367,.353,0.3,0.5,.500,0.5,1.5,1.9,0.4,0.0,0.1,0.3,0.4,2.7,,32,C,15,0,97,0,0,4,50,46,4.3,1.7,4,0,2,1,4,15,0,0,
DET,2002,Ratko Varda,22,C,1,0,6.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,,22,C,1,0,6,0,0,0,0,100,-19.7,-22.4,1,0,1,0,1,0,1,0,
DET,2002,Brian Cardinal,24,PF,8,0,5.4,0.8,1.6,.462,0.4,0.9,.429,0.4,0.8,.500,.577,0.3,0.3,1.000,0.3,0.5,0.8,0.3,0.1,0.0,0.0,0.6,2.1,,24,PF,8,0,43,0,9,55,36,0,17.0,14.4,0,0,3,0,1,5,0,0,
DET,2002,Team Totals,,,82,82,240.0,34.7,76.8,.452,6.9,18.4,.376,27.8,58.4,.475,.497,18.0,23.8,.756,9.9,28.9,38.7,21.5,7.9,6.9,14.5,20.7,94.3,,,,82,82,19680,20,20,20,20,20,2.7,-0.2,533,309,732,168,691,4031,144,335,
DET,2003,Ben Wallace,28,C,73,73,39.4,2.9,6.0,.481,0.0,0.1,.167,2.9,5.9,.485,.482,1.2,2.6,.450,4.0,11.4,15.4,1.6,1.4,3.2,1.2,2.5,6.9,"MVP-8,DPOY-1,AS,NBA2",28,C,73,73,2873,0,0,0,10,90,5.1,3.4,44,22,114,8,71,265,13,22,"MVP-8,DPOY-1,AS,NBA2"
